@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2}

@data
165,'2022/02/21 13:16:29:633',1,169.755707,292.617493,170.698563,1
166,'2022/02/21 13:16:29:732',1,182.964478,300.293182,157.492859,1
167,'2022/02/21 13:16:29:831',1,194.743423,293.64093,137.767914,1
168,'2022/02/21 13:16:29:931',1,123.794182,195.601639,219.783981,1
169,'2022/02/21 13:16:30:029',1,154.932236,172.754166,191.039261,1
170,'2022/02/21 13:16:30:128',1,133.270401,223.573257,193.705963,1
171,'2022/02/21 13:16:30:227',1,177.485214,279.302704,134.658829,1
172,'2022/02/21 13:16:30:326',1,133.180328,281.261444,186.077942,1
173,'2022/02/21 13:16:30:425',1,185.431931,97.185387,99.639351,1
174,'2022/02/21 13:16:30:556',1,142.762039,160.909912,199.902481,1
175,'2022/02/21 13:16:30:651',1,134.003738,235.567398,218.68927,1
176,'2022/02/21 13:16:30:750',1,140.89003,262.230804,222.272354,1
177,'2022/02/21 13:16:30:849',1,202.299286,274.590607,213.600098,1
178,'2022/02/21 13:16:30:949',1,239.633057,254.568268,215.139496,1
179,'2022/02/21 13:16:31:047',1,237.766693,221.731827,211.243942,1
180,'2022/02/21 13:16:31:147',1,225.410736,173.726791,176.672012,1
181,'2022/02/21 13:16:31:245',1,7.28011,123.761871,130.23056,1
182,'2022/02/21 13:16:31:345',1,193.685318,123.664871,73.246162,1
183,'2022/02/21 13:16:31:444',1,198.090881,135.948517,72.180328,1
184,'2022/02/21 13:16:31:543',1,182.879745,147.363495,100.424103,1
185,'2022/02/21 13:16:31:642',1,152.108521,177.65416,122.188377,1
186,'2022/02/21 13:16:31:741',1,120.933868,188.138245,121.412521,1
187,'2022/02/21 13:16:38:168',2,25.632011,263.94696,253.12645,2
188,'2022/02/21 13:16:38:243',2,187.00267,264.017059,93.941475,2
189,'2022/02/21 13:16:38:345',2,140.520462,275.089081,147.363495,2
190,'2022/02/21 13:16:38:444',2,126.58989,316.056946,210.772385,2
191,'2022/02/21 13:16:38:543',2,129.375427,311.361511,203.735123,2
192,'2022/02/21 13:16:38:642',2,118.06778,293.170593,191.658554,2
193,'2022/02/21 13:16:38:743',2,115.412308,288.916931,188.565643,2
194,'2022/02/21 13:16:38:840',2,66.030296,278.41156,223.224106,2
195,'2022/02/21 13:16:38:939',2,45.177429,285.035095,243.347488,2
196,'2022/02/21 13:16:39:038',2,18.681541,278.258881,260.094208,2
197,'2022/02/21 13:16:39:138',2,27.313,277.96582,251.962296,2
198,'2022/02/21 13:16:39:241',2,46.32494,274.308228,235.306183,2
199,'2022/02/21 13:16:39:335',2,45.88028,279,236.541748,2
200,'2022/02/21 13:16:39:429',2,29.410883,272.148865,249.359177,2
201,'2022/02/21 13:16:39:529',2,42.201897,277.405853,256.719696,2
202,'2022/02/21 13:16:39:630',2,37.94733,270.896667,265.843933,2
203,'2022/02/21 13:16:39:728',2,43.185646,269.833282,248.364655,2
204,'2022/02/21 13:16:39:828',2,31.064449,265.559784,244.092194,2
205,'2022/02/21 13:16:39:926',2,58.830265,269.874054,231.008652,2
206,'2022/02/21 13:16:40:025',2,45,272.682953,245.904449,2
207,'2022/02/21 13:16:40:124',2,36.878178,276.990967,257.751831,2
208,'2022/02/21 13:16:40:223',2,41.048752,281.455139,256.846252,2
209,'2022/02/21 13:16:40:321',2,38.013157,283.381378,256.456635,2
210,'2022/02/21 13:16:40:425',2,37.735924,284.480225,260.92337,2
211,'2022/02/21 13:16:40:519',2,53.600372,287.480438,259.849945,2
212,'2022/02/21 13:16:40:618',2,75.802376,310.304688,268.821503,2
213,'2022/02/21 13:16:40:716',2,94.921021,321.080994,259.401245,2
214,'2022/02/21 13:16:40:816',2,71.840103,321.864868,270.972321,2
215,'2022/02/21 13:16:40:915',2,54.341511,318.888702,278.49057,2
216,'2022/02/21 13:16:41:014',2,93.343452,327.136047,244.616028,2
217,'2022/02/21 13:16:41:114',2,52.46904,318.818115,271.330048,2
218,'2022/02/21 13:16:41:212',2,79.246452,331.169128,258.822327,2
219,'2022/02/21 13:16:41:312',2,46.52956,322.121094,279.293762,2
220,'2022/02/21 13:16:41:411',2,57.140179,321.59137,273.382507,2
221,'2022/02/21 13:16:41:513',2,43.56604,327.200256,299.923309,2
222,'2022/02/21 13:16:41:609',2,31.38471,327.702606,320.951721,2
223,'2022/02/21 13:16:41:707',2,67.208633,332.121979,291.821869,2
224,'2022/02/21 13:16:41:807',2,53.413483,332.267975,298.283417,2
225,'2022/02/21 13:16:41:905',2,44.418465,334.717804,307.527222,2
226,'2022/02/21 13:16:42:005',2,43.416588,319.452667,286.665314,2
227,'2022/02/21 13:16:42:103',2,29.614185,321.840027,292.328583,2
228,'2022/02/21 13:16:42:203',2,42.059483,329.077484,287.167206,2
229,'2022/02/21 13:16:42:302',2,41.036568,332.35675,292.959045,2
230,'2022/02/21 13:16:42:401',2,55.027267,332.121979,289.152222,2
